"Tabela 6587 - Indicador 9.2.1 - Valor adicionado da indústria em proporção do PIB e per capita"
"Variável - Valor adicionado da indústria de transformação em proporção do PIB (%)"
"Nível";"Brasil e Unidade da Federação";"Ano"
"Nível";"Brasil e Unidade da Federação";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"UF";"Santa Catarina";"18,9";"18,1";"17,6";"17,2";"16,3";"15,8";"15,5";"15,5"
"UF";"Rio Grande do Sul";"17,1";"16,7";"16,2";"16,0";"15,2";"13,9";"13,6";"13,3"
"UF";"Mato Grosso do Sul";"8,2";"8,4";"8,1";"8,4";"8,3";"8,4";"8,5";"8,4"
"UF";"Mato Grosso";"10,3";"9,4";"9,0";"8,7";"8,5";"8,7";"9,2";"8,6"
"UF";"Goiás";"12,7";"12,8";"12,2";"12,6";"13,0";"13,7";"13,8";"14,1"
"UF";"Distrito Federal";"1,3";"1,4";"1,4";"1,4";"1,3";"1,3";"1,2";"1,1"
"Fonte: IBGE, &nbsp;Sistema de Contas Nacionais - CONAC; e Estimativas da Popula&ccedil;&atilde;o - COPIS"

"Tabela 6587 - Indicador 9.2.1 - Valor adicionado da indústria em proporção do PIB e per capita"
"Variável - Valor adicionado da indústria de transformação per capita (Reais (2010))"
"Nível";"Brasil e Unidade da Federação";"Ano"
"Nível";"Brasil e Unidade da Federação";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"BR";"Brasil";"2592";"2627";"2544";"2528";"2389";"2169";"2151";"2135"
"UF";"Rondônia";"1108";"1201";"1306";"1244";"1258";"1156";"1143";"1132"
"UF";"Acre";"429";"458";"468";"422";"463";"489";"481";"474"
"UF";"Amazonas";"4534";"4879";"4656";"4641";"4353";"3771";"3711";"3655"
"UF";"Roraima";"206";"193";"191";"198";"201";"214";"210";"207"
"UF";"Pará";"585";"571";"553";"532";"521";"497";"491";"486"
"UF";"Amapá";"246";"230";"246";"213";"212";"205";"201";"197"
"UF";"Tocantins";"370";"358";"390";"393";"426";"432";"427";"422"
"UF";"Maranhão";"228";"297";"308";"323";"346";"331";"329";"327"
"UF";"Piauí";"328";"342";"442";"453";"471";"467";"466";"465"
"UF";"Ceará";"922";"795";"785";"848";"818";"728";"723";"718"
"UF";"Rio Grande do Norte";"776";"865";"816";"725";"706";"664";"657";"651"
"UF";"Paraíba";"731";"729";"782";"791";"828";"824";"819";"813"
"UF";"Pernambuco";"948";"940";"940";"899";"900";"884";"877";"872"
"UF";"Alagoas";"640";"744";"730";"578";"588";"529";"526";"524"
"UF";"Sergipe";"714";"779";"784";"662";"519";"501";"496";"491"
"UF";"Bahia";"1216";"1201";"1263";"1151";"1089";"1011";"1007";"1002"
"UF";"Minas Gerais";"2664";"2669";"2603";"2504";"2363";"2150";"2137";"2125"
"UF";"Espírito Santo";"2269";"2160";"1864";"1693";"1618";"1665";"1647";"1630"
"UF";"Rio de Janeiro";"1972";"2017";"1986";"2016";"1914";"1717";"1708";"1700"
"UF";"São Paulo";"4993";"5041";"4828";"4789";"4465";"3984";"3952";"3922"
"UF";"Paraná";"3240";"3484";"3370";"3392";"3050";"2743";"2723";"2704"
"UF";"Santa Catarina";"4658";"4555";"4453";"4346";"4155";"3793";"3743";"3695"
"UF";"Rio Grande do Sul";"3849";"3929";"3704";"3835";"3621";"3148";"3137";"3127"
"UF";"Mato Grosso do Sul";"1583";"1650";"1670";"1792";"1788";"1789";"1768";"1748"
"UF";"Mato Grosso";"1913";"1821";"1909";"1889";"1887";"1869";"1847";"1825"
"UF";"Goiás";"2263";"2379";"2342";"2382";"2469";"2470";"2439";"2409"
"UF";"Distrito Federal";"738";"786";"776";"794";"737";"699";"684";"670"
"Fonte: IBGE, &nbsp;Sistema de Contas Nacionais - CONAC; e Estimativas da Popula&ccedil;&atilde;o - COPIS"

""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
